Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Wednesday Mar 20,boxscore,LAD,@,SDP,W,5,2,,1-0,1,up 0.5,Hudson,Brito,Phillips,3:05,N,15952,1.00,+,
2,Thursday Mar 21,boxscore,LAD,,SDP,L,11,15,,1-1,1,Tied,King,Yamamoto,Suarez,3:42,N,15928,1.06,-,
3,Thursday Mar 28,boxscore,LAD,,STL,W,7,1,,2-1,1,Tied,Glasnow,Mikolas,Yarbrough,2:23,D,52667,.95,+,
4,Friday Mar 29,boxscore,LAD,,STL,W,6,3,,3-1,1,Tied,Miller,Thompson,Phillips,2:23,N,47524,1.00,++,
5,Saturday Mar 30,boxscore,LAD,,STL,L,5,6,10,3-2,1,Tied,Helsley,Hurt,Gallegos,3:17,N,45019,1.01,-,
6,Sunday Mar 31,boxscore,LAD,,STL,W,5,4,,4-2,1,Tied,Crismatt,King,Hudson,2:41,D,41014,.98,+,
7,Monday Apr 1,boxscore,LAD,,SFG,W,8,3,,5-2,1,up 1.0,Paxton,Winn,,2:38,N,49044,1.08,++,
8,Tuesday Apr 2,boxscore,LAD,,SFG,W,5,4,,6-2,1,up 1.0,Yarbrough,Webb,Phillips,2:57,N,49365,1.18,+++,
9,Wednesday Apr 3,boxscore,LAD,,SFG,W,5,4,,7-2,1,up 2.0,Glasnow,Harrison,Lamet,2:25,N,52746,1.16,++++,
10,Friday Apr 5,boxscore,LAD,@,CHC,L,7,9,,7-3,1,up 2.0,Smyly,Miller,Alzolay,2:57,D,34981,1.14,-,
11,Saturday Apr 6,boxscore,LAD,@,CHC,W,4,1,,8-3,1,up 3.0,Yamamoto,Wicks,,2:45,D,41040,1.13,+,
12,Sunday Apr 7,boxscore,LAD,@,CHC,L,1,8,,8-4,1,up 3.0,Almonte,Stone,Palencia,2:32,D,38322,1.16,-,
13,Monday Apr 8,boxscore,LAD,@,MIN,W,4,2,,9-4,1,up 3.0,Paxton,Jackson,Phillips,2:15,N,15177,1.08,+,
14,Tuesday Apr 9,boxscore,LAD,@,MIN,W,6,3,,10-4,1,up 4.0,Glasnow,Varland,,2:23,N,17024,1.08,++,
15,Wednesday Apr 10,boxscore,LAD,@,MIN,L,2,3,,10-5,1,up 3.0,Funderburk,Vesia,Okert,2:31,D,18640,1.12,-,
16,Friday Apr 12,boxscore,LAD,,SDP,L,7,8,11,10-6,1,up 2.0,Suarez,Vesia,,3:14,N,49606,1.26,--,
17,Saturday Apr 13,boxscore,LAD,,SDP,W,5,2,,11-6,1,up 3.0,Stone,Cosgrove,Phillips,2:36,N,44582,1.24,+,
18,Sunday Apr 14,boxscore,LAD,,SDP,L,3,6,,11-7,1,up 2.0,Matsui,Feyereisen,Suarez,2:58,D,49432,1.25,-,
19,Monday Apr 15,boxscore,LAD,,WSN,L,4,6,,11-8,1,up 1.0,Parker,Glasnow,Finnegan,2:36,N,42677,1.15,--,
20,Tuesday Apr 16,boxscore,LAD,,WSN,W,6,2,,12-8,1,up 1.0,Yarbrough,Corbin,,2:26,N,52718,1.11,+,
21,Wednesday Apr 17,boxscore,LAD,,WSN,L,0,2,,12-9,1,up 1.0,Irvin,Knack,Finnegan,2:16,D,44428,1.10,-,
22,Friday Apr 19,boxscore,LAD,,NYM,L,4,9,,12-10,1,up 1.0,Garrett,Hudson,,3:03,N,44783,1.14,--,
23,Saturday Apr 20,boxscore,LAD,,NYM,L,4,6,,12-11,1,up 1.0,Tonkin,Yarbrough,Garrett,3:20,D,45373,1.07,---,
24,Sunday Apr 21,boxscore,LAD,,NYM,W,10,0,,13-11,1,up 1.0,Glasnow,Houser,,2:18,D,49287,1.03,+,
25,Tuesday Apr 23,boxscore,LAD,@,WSN,W,4,1,,14-11,1,up 1.5,Vesia,Harvey,Phillips,3:10,N,27806,1.06,++,
26,Wednesday Apr 24,boxscore,LAD,@,WSN,W,11,2,,15-11,1,up 1.5,Knack,Irvin,,2:40,N,26298,1.09,+++,
27,Thursday Apr 25,boxscore,LAD,@,WSN,W,2,1,,16-11,1,up 2.5,Yamamoto,Gore,Phillips,2:36,D,24185,1.11,++++,
28,Friday Apr 26,boxscore,LAD,@,TOR,W,12,2,,17-11,1,up 3.5,Stone,Bassitt,,2:39,N,39688,1.13,+++++,
29,Saturday Apr 27,boxscore,LAD,@,TOR,W,4,2,,18-11,1,up 4.5,Glasnow,Kikuchi,Phillips,2:49,D,39405,1.13,++++++,
30,Sunday Apr 28,boxscore,LAD,@,TOR,L,1,3,,18-12,1,up 3.5,Gausman,Grove,Romano,2:20,D,39053,1.16,-,
31,Monday Apr 29,boxscore,LAD,@,ARI,W,8,4,,19-12,1,up 4.0,Paxton,Henry,,2:50,N,36985,1.28,+,
32,Tuesday Apr 30,boxscore,LAD,@,ARI,L-wo,3,4,10,19-13,1,up 4.0,McGough,Crismatt,,2:47,N,28667,1.28,-,
33,Wednesday May 1,boxscore,LAD,@,ARI,W,8,0,,20-13,1,up 4.5,Yamamoto,Montgomery,,2:49,N,34088,1.29,+,
34,Friday May 3,boxscore,LAD,,ATL,W-wo,4,3,11,21-13,1,up 4.5,Grove,Chavez,,3:00,N,50859,1.26,++,
35,Saturday May 4,boxscore,LAD,,ATL,W,11,2,,22-13,1,up 4.5,Glasnow,Elder,,2:24,N,44474,1.33,+++,
36,Sunday May 5,boxscore,LAD,,ATL,W,5,1,,23-13,1,up 5.5,Paxton,Fried,,2:07,D,52733,1.28,++++,
37,Monday May 6,boxscore,LAD,,MIA,W,6,3,,24-13,1,up 5.5,Yarbrough,Muñoz,Vesia,2:19,N,44970,1.22,+++++,
38,Tuesday May 7,boxscore,LAD,,MIA,W,8,2,,25-13,1,up 6.5,Yamamoto,Cabrera,,2:11,N,51496,1.20,++++++,
39,Wednesday May 8,boxscore,LAD,,MIA,W,3,1,,26-13,1,up 6.5,Stone,Weathers,Hudson,1:55,D,40702,1.19,+++++++,
40,Friday May 10,boxscore,LAD,@,SDP,L-wo,1,2,,26-14,1,up 5.5,Suarez,Grove,,2:12,N,43388,1.31,-,
41,Saturday May 11,boxscore,LAD,@,SDP,W,5,0,,27-14,1,up 6.5,Paxton,Waldron,,2:36,N,46701,1.39,+,
42,Sunday May 12,boxscore,LAD,@,SDP,L,0,4,,27-15,1,up 5.5,Darvish,Buehler,,2:35,D,43881,1.34,-,
43,Monday May 13,boxscore,LAD,@,SFG,W,6,4,10,28-15,1,up 6.5,Treinen,Rogers,Feyereisen,2:55,N,35033,1.28,+,
44,Tuesday May 14,boxscore,LAD,@,SFG,W,10,2,,29-15,1,up 7.5,Stone,Winn,,2:36,N,33575,1.27,++,
45,Wednesday May 15,boxscore,LAD,@,SFG,L,1,4,,29-16,1,up 7.5,Webb,Hernández,Doval,2:23,N,36027,1.22,-,
46,Thursday May 16,boxscore,LAD,,CIN,L,2,7,,29-17,1,up 7.0,Martinez,Glasnow,,2:49,N,53527,1.16,--,
47,Friday May 17,boxscore,LAD,,CIN,W,7,3,,30-17,1,up 7.0,Grove,Cruz,,2:19,N,46832,1.19,+,
48,Saturday May 18,boxscore,LAD,,CIN,W,4,0,,31-17,1,up 7.5,Buehler,Ashcraft,,2:07,N,49239,1.19,++,
49,Sunday May 19,boxscore,LAD,,CIN,W-wo,3,2,10,32-17,1,up 7.5,Banda,Díaz,,2:54,D,52656,1.13,+++,
50,Monday May 20,boxscore,LAD,,ARI,W,6,4,,33-17,1,up 8.0,Yamamoto,Cecconi,Hudson,2:39,N,37634,1.24,++++,
51,Tuesday May 21,boxscore,LAD,,ARI,L,3,7,,33-18,1,up 8.0,Pfaadt,Stone,,2:30,N,46180,1.21,-,
52,Wednesday May 22,boxscore,LAD,,ARI,L,0,6,,33-19,1,up 7.0,Nelson,Glasnow,,2:40,N,46593,1.22,--,
53,Friday May 24,boxscore,LAD,@,CIN,L,6,9,,33-20,1,up 6.5,Ashcraft,Ramírez,,2:56,N,40074,1.17,---,
54,Saturday May 25,boxscore,LAD,@,CIN,L,1,3,,33-21,1,up 5.5,Greene,Buehler,Díaz,2:29,N,41880,1.19,----,
55,Sunday May 26,boxscore,LAD,@,CIN,L,1,4,,33-22,1,up 5.5,Martinez,Yamamoto,Díaz,2:27,D,35619,1.24,-----,
56,Tuesday May 28 (1),boxscore,LAD,@,NYM,W,5,2,10,34-22,1,up 5.5,Hudson,López,Treinen,2:42,N,,1.25,+,
57,Tuesday May 28 (2),boxscore,LAD,@,NYM,W,3,0,,35-22,1,up 5.5,Stone,Quintana,Vesia,2:18,N,36021,1.27,++,
58,Wednesday May 29,boxscore,LAD,@,NYM,W,10,3,,36-22,1,up 6.5,Treinen,Ottavino,,3:20,D,23890,1.24,+++,
59,Friday May 31,boxscore,LAD,,COL,L,1,4,,36-23,1,up 5.5,Hudson,Buehler,Beeks,2:20,N,47542,1.17,-,
60,Saturday Jun 1,boxscore,LAD,,COL,W,4,1,,37-23,1,up 5.5,Yamamoto,Quantrill,Phillips,2:41,N,50182,1.21,+,
61,Sunday Jun 2,boxscore,LAD,,COL,W,4,0,,38-23,1,up 6.5,Stone,Gomber,,2:29,D,48251,1.16,++,
62,Tuesday Jun 4,boxscore,LAD,@,PIT,L,0,1,,38-24,1,up 7.0,Jones,Glasnow,Bednar,2:21,N,24168,1.15,-,
63,Wednesday Jun 5,boxscore,LAD,@,PIT,L,6,10,,38-25,1,up 7.0,Skenes,Paxton,,2:45,N,29716,1.20,--,
64,Thursday Jun 6,boxscore,LAD,@,PIT,W,11,7,,39-25,1,up 8.0,Grove,Falter,,3:08,N,22752,1.21,+,
65,Friday Jun 7,boxscore,LAD,@,NYY,W,2,1,11,40-25,1,up 8.0,Grove,Hamilton,Ramírez,3:21,N,48048,1.15,++,
66,Saturday Jun 8,boxscore,LAD,@,NYY,W,11,3,,41-25,1,up 8.0,Stone,Cortés,,3:17,N,48374,1.10,+++,
67,Sunday Jun 9,boxscore,LAD,@,NYY,L,4,6,,41-26,1,up 8.0,Ferguson,Glasnow,Holmes,2:44,N,48023,1.08,-,
68,Tuesday Jun 11,boxscore,LAD,,TEX,W,15,2,,42-26,1,up 7.5,Paxton,Dunning,,2:40,N,51416,1.14,+,
69,Wednesday Jun 12,boxscore,LAD,,TEX,L,2,3,,42-27,1,up 6.5,Latz,Buehler,Yates,2:51,N,48930,1.07,-,
70,Thursday Jun 13,boxscore,LAD,,TEX,L,1,3,,42-28,1,up 6.0,Lorenzen,Grove,Yates,2:31,N,50134,1.14,--,
71,Friday Jun 14,boxscore,LAD,,KCR,W,4,3,,43-28,1,up 7.0,Hudson,Smith,Vesia,2:01,N,49580,1.21,+,
72,Saturday Jun 15,boxscore,LAD,,KCR,L,2,7,,43-29,1,up 7.0,Lugo,Treinen,,2:32,N,50423,1.16,-,
73,Sunday Jun 16,boxscore,LAD,,KCR,W,3,0,,44-29,1,up 8.0,Glasnow,Singer,Phillips,2:05,D,52789,1.20,+,
74,Monday Jun 17,boxscore,LAD,@,COL,W,9,5,,45-29,1,up 8.5,Paxton,Quantrill,,2:44,N,32021,1.13,++,
75,Tuesday Jun 18,boxscore,LAD,@,COL,W,11,9,,46-29,1,up 9.0,Petersen,Vodnik,Phillips,2:55,N,33791,1.14,+++,
76,Wednesday Jun 19,boxscore,LAD,@,COL,L-wo,6,7,,46-30,1,up 9.0,Beeks,Ramírez,,2:30,N,37503,1.03,-,
77,Thursday Jun 20,boxscore,LAD,@,COL,W,5,3,,47-30,1,up 9.0,Stone,Blach,Phillips,2:34,D,40236,1.10,+,
78,Friday Jun 21,boxscore,LAD,,LAA,L,2,3,10,47-31,1,up 8.0,García,Banda,Estévez,2:40,N,51841,1.07,-,
79,Saturday Jun 22,boxscore,LAD,,LAA,W,7,2,,48-31,1,up 8.0,Glasnow,Plesac,,2:10,N,53273,1.13,+,
80,Monday Jun 24,boxscore,LAD,@,CHW,W,3,0,,49-31,1,up 8.5,Hudson,Wilson,Vesia,2:28,N,25070,1.08,++,
81,Tuesday Jun 25,boxscore,LAD,@,CHW,W,4,3,,50-31,1,up 8.5,Petersen,Flexen,Phillips,2:49,N,23662,1.00,+++,
82,Wednesday Jun 26,boxscore,LAD,@,CHW,W,4,0,,51-31,1,up 8.5,Stone,Fedde,,2:02,N,36225,1.02,++++,
83,Friday Jun 28,boxscore,LAD,@,SFG,L-wo,3,5,,51-32,1,up 7.5,Doval,Treinen,,2:15,N,40052,.99,-,
84,Saturday Jun 29,boxscore,LAD,@,SFG,W,14,7,11,52-32,1,up 7.5,Hudson,Hjelle,,3:45,D,39663,1.04,+,
85,Sunday Jun 30,boxscore,LAD,@,SFG,L,4,10,,52-33,1,up 7.5,Bivens,Paxton,,2:27,D,40428,1.07,-,
86,Tuesday Jul 2,boxscore,LAD,,ARI,W-wo,6,5,,53-33,1,up 8.5,Phillips,Sewald,,2:44,N,52931,1.09,+,
87,Wednesday Jul 3,boxscore,LAD,,ARI,L,4,12,,53-34,1,up 7.5,Jarvis,Yarbrough,,3:23,N,47965,.99,-,
88,Thursday Jul 4,boxscore,LAD,,ARI,L,3,9,,53-35,1,up 6.5,Martinez,Knack,,2:48,N,52320,1.04,--,
89,Friday Jul 5,boxscore,LAD,,MIL,W,8,5,,54-35,1,up 6.5,Hudson,Peguero,Phillips,2:30,N,49885,1.43,+,
90,Saturday Jul 6,boxscore,LAD,,MIL,W,5,3,,55-35,1,up 7.5,Phillips,Hudson,Vesia,2:42,D,50086,1.42,++,
91,Sunday Jul 7,boxscore,LAD,,MIL,L,2,9,,55-36,1,up 7.5,Junis,Wrobleski,,2:53,D,43528,1.31,-,
92,Tuesday Jul 9,boxscore,LAD,@,PHI,L,1,10,,55-37,1,up 7.5,Wheeler,Miller,,2:49,N,43065,1.18,--,
93,Wednesday Jul 10,boxscore,LAD,@,PHI,L,3,4,,55-38,1,up 7.5,Sánchez,Stone,Hoffman,2:30,N,42912,1.23,---,
94,Thursday Jul 11,boxscore,LAD,@,PHI,L,1,5,,55-39,1,up 7.0,Nola,Banda,,2:43,N,44020,1.23,----,
95,Friday Jul 12,boxscore,LAD,@,DET,W,4,3,,56-39,1,up 8.0,Petersen,Foley,Hudson,2:58,N,42060,1.19,+,
96,Saturday Jul 13,boxscore,LAD,@,DET,L-wo,9,11,10,56-40,1,up 7.0,Vest,Ramírez,,3:11,D,40196,1.19,-,
97,Sunday Jul 14,boxscore,LAD,@,DET,L-wo,3,4,,56-41,1,up 7.0,Faedo,Ramírez,,2:52,D,35159,1.26,--,
98,Friday Jul 19,boxscore,LAD,,BOS,W,4,1,,57-41,1,up 7.0,Yarbrough,Bernardino,Hudson,2:36,N,51562,1.28,+,
99,Saturday Jul 20,boxscore,LAD,,BOS,W-wo,7,6,11,58-41,1,up 7.0,Treinen,Weissert,,3:30,D,48129,1.25,++,
100,Sunday Jul 21,boxscore,LAD,,BOS,W,9,6,,59-41,1,up 8.0,Paxton,Crawford,Hudson,2:42,D,50824,1.19,+++,
101,Monday Jul 22,boxscore,LAD,,SFG,W,3,2,,60-41,1,up 8.5,Treinen,Miller,Hudson,2:26,N,49576,1.16,++++,
102,Tuesday Jul 23,boxscore,LAD,,SFG,W,5,2,,61-41,1,up 8.5,Knack,Hicks,Phillips,2:55,N,52627,1.13,+++++,
103,Wednesday Jul 24,boxscore,LAD,,SFG,L,3,8,,61-42,1,up 7.5,Ray,Glasnow,,2:51,N,54070,1.09,-,
104,Thursday Jul 25,boxscore,LAD,,SFG,W,6,4,,62-42,1,up 7.5,Treinen,Rogers,Honeywell,2:38,D,52291,1.19,+,
105,Friday Jul 26,boxscore,LAD,@,HOU,L,0,5,,62-43,1,up 6.5,Valdez,Stone,,2:38,N,41452,1.07,-,
106,Saturday Jul 27,boxscore,LAD,@,HOU,L-wo,6,7,,62-44,1,up 5.5,Hader,Treinen,,2:50,N,41819,1.18,--,
107,Sunday Jul 28,boxscore,LAD,@,HOU,W,6,2,,63-44,1,up 6.5,Ryan,Arrighetti,,2:46,D,41418,1.26,+,
108,Tuesday Jul 30,boxscore,LAD,@,SDP,L-wo,5,6,10,63-45,1,up 5.5,Suarez,Vesia,,2:48,N,47559,1.31,-,
109,Wednesday Jul 31,boxscore,LAD,@,SDP,L,1,8,,63-46,1,up 4.5,Cease,Kershaw,,2:35,N,46997,1.51,--,
110,Friday Aug 2,boxscore,LAD,@,OAK,L,5,6,,63-47,1,up 4.0,Estes,Stone,,2:27,N,21060,1.43,---,
111,Saturday Aug 3,boxscore,LAD,@,OAK,W,10,0,,64-47,1,up 4.5,Flaherty,Spence,,2:47,N,35207,1.44,+,
112,Sunday Aug 4,boxscore,LAD,@,OAK,W,3,2,,65-47,1,up 4.5,Vesia,Bido,Banda,2:27,D,25544,1.44,++,
113,Monday Aug 5,boxscore,LAD,,PHI,W,5,3,,66-47,1,up 5.0,Glasnow,Nola,Hudson,2:25,N,48178,1.48,+++,
114,Tuesday Aug 6,boxscore,LAD,,PHI,L,2,6,,66-48,1,up 4.0,Sánchez,Kershaw,,2:52,N,47150,1.40,-,
115,Wednesday Aug 7,boxscore,LAD,,PHI,L,4,9,,66-49,1,up 3.0,Phillips,Vesia,,2:49,N,45003,1.46,--,
116,Friday Aug 9,boxscore,LAD,,PIT,W,9,5,,67-49,1,up 2.5,Flaherty,Keller,,2:42,N,48664,1.48,+,
117,Saturday Aug 10,boxscore,LAD,,PIT,W,4,1,,68-49,1,up 2.5,Kopech,Skenes,,2:29,N,50697,1.39,++,
118,Sunday Aug 11,boxscore,LAD,,PIT,W-wo,6,5,10,69-49,1,up 3.5,Phillips,Bednar,,3:24,D,50389,1.39,+++,
119,Monday Aug 12,boxscore,LAD,@,MIL,W,5,2,,70-49,1,up 3.5,Kershaw,Peralta,Hudson,2:29,N,33618,1.53,++++,
120,Tuesday Aug 13,boxscore,LAD,@,MIL,W,7,2,,71-49,1,up 3.5,Stone,Rea,Knack,2:34,N,29174,1.50,+++++,
121,Wednesday Aug 14,boxscore,LAD,@,MIL,L,4,5,,71-50,1,up 2.5,Payamps,Honeywell,Williams,2:59,N,31084,1.35,-,
122,Thursday Aug 15,boxscore,LAD,@,MIL,L,4,6,,71-51,1,up 2.0,Hudson,Hudson,Williams,2:41,D,40447,1.45,--,
123,Friday Aug 16,boxscore,LAD,@,STL,W,7,6,,72-51,1,up 3.0,Wrobleski,Mikolas,Kopech,2:39,N,38485,1.34,+,
124,Saturday Aug 17,boxscore,LAD,@,STL,L,2,5,,72-52,1,up 2.0,Pallante,Miller,Helsley,2:27,N,41929,1.35,-,
125,Sunday Aug 18,boxscore,LAD,@,STL,W,2,1,,73-52,1,up 3.0,Kershaw,Gray,Kopech,2:27,D,40246,1.38,+,
126,Monday Aug 19,boxscore,LAD,,SEA,W,3,0,,74-52,1,up 3.0,Stone,Woo,Phillips,2:15,N,51348,1.32,++,
127,Tuesday Aug 20,boxscore,LAD,,SEA,W,6,3,,75-52,1,up 3.0,Kelly,Muñoz,Hudson,3:11,N,48395,1.38,+++,
128,Wednesday Aug 21,boxscore,LAD,,SEA,W,8,4,,76-52,1,up 4.0,Flaherty,Gilbert,,2:47,N,45295,1.30,++++,
129,Friday Aug 23,boxscore,LAD,,TBR,W-wo,7,3,,77-52,1,up 4.0,Kopech,Rodríguez,,2:27,N,45556,1.27,+++++,
130,Saturday Aug 24,boxscore,LAD,,TBR,L,8,9,10,77-53,1,up 3.0,Rodríguez,Kelly,Cleavinger,2:50,N,48488,1.23,-,
131,Sunday Aug 25,boxscore,LAD,,TBR,W,3,1,,78-53,1,up 3.0,Treinen,Lovelady,Banda,2:03,D,52464,1.34,+,
132,Tuesday Aug 27,boxscore,LAD,,BAL,L,2,3,,78-54,1,up 3.0,Bowman,Flaherty,Domínguez,2:41,N,52382,1.39,-,
133,Wednesday Aug 28,boxscore,LAD,,BAL,W,6,4,,79-54,1,up 3.0,Banda,Burnes,Kopech,2:30,N,53290,1.45,+,
134,Thursday Aug 29,boxscore,LAD,,BAL,W,6,3,,80-54,1,up 4.0,Miller,Povich,Phillips,2:55,N,53203,1.41,++,
135,Friday Aug 30,boxscore,LAD,@,ARI,W,10,9,,81-54,1,up 5.0,Brasier,Floro,,3:13,N,46606,1.75,+++,
136,Saturday Aug 31,boxscore,LAD,@,ARI,W,8,6,,82-54,1,up 6.0,Casparius,Thompson,Phillips,2:50,N,50041,1.46,++++,
137,Sunday Sep 1,boxscore,LAD,@,ARI,L,3,14,,82-55,1,up 5.0,Pfaadt,Wrobleski,,2:38,D,46278,1.24,-,
138,Monday Sep 2,boxscore,LAD,@,ARI,W,11,6,,83-55,1,up 5.0,Flaherty,Rodríguez,,3:25,D,43747,1.37,+,
139,Tuesday Sep 3,boxscore,LAD,@,LAA,W,6,2,10,84-55,1,up 5.5,Kopech,Contreras,,2:40,N,44731,1.09,++,
140,Wednesday Sep 4,boxscore,LAD,@,LAA,L,1,10,,84-56,1,up 4.5,Canning,Miller,,2:18,N,44822,.95,-,
141,Friday Sep 6,boxscore,LAD,,CLE,L,1,3,,84-57,1,up 4.0,Boyd,Knack,Clase,2:17,N,45318,1.09,--,
142,Saturday Sep 7,boxscore,LAD,,CLE,W,7,2,,85-57,1,up 5.0,Honeywell,Williams,,2:34,N,48690,1.25,+,
143,Sunday Sep 8,boxscore,LAD,,CLE,W,4,0,,86-57,1,up 6.0,Flaherty,Bibee,,2:31,D,44207,.99,++,
144,Monday Sep 9,boxscore,LAD,,CHC,L,4,10,,86-58,1,up 5.5,Thompson,Buehler,,2:50,N,50495,.71,-,
145,Tuesday Sep 10,boxscore,LAD,,CHC,L,3,6,,86-59,1,up 4.5,Imanaga,Phillips,Hodge,2:36,N,51923,.95,--,
146,Wednesday Sep 11,boxscore,LAD,,CHC,W,10,8,,87-59,1,up 5.0,Vesia,Armstrong,Kopech,2:56,N,48691,1.36,+,
147,Friday Sep 13,boxscore,LAD,@,ATL,L,2,6,,87-60,1,up 4.5,Schwellenbach,Knack,,2:26,N,40339,1.12,-,
148,Saturday Sep 14,boxscore,LAD,@,ATL,L,1,10,,87-61,1,up 3.5,Sale,Flaherty,,2:30,N,42732,1.42,--,
149,Sunday Sep 15,boxscore,LAD,@,ATL,W,9,2,,88-61,1,up 3.5,Kopech,Iglesias,,2:42,N,39198,1.73,+,
150,Monday Sep 16,boxscore,LAD,@,ATL,W,9,0,,89-61,1,up 3.5,Phillips,Fried,,2:37,N,37109,1.53,++,
151,Tuesday Sep 17,boxscore,LAD,@,MIA,L,9,11,,89-62,1,up 3.5,Veneziano,Grove,,2:57,N,17902,1.49,-,
152,Wednesday Sep 18,boxscore,LAD,@,MIA,W,8,4,,90-62,1,up 3.5,Knack,Weathers,,2:48,N,17138,1.45,+,
153,Thursday Sep 19,boxscore,LAD,@,MIA,W,20,4,,91-62,1,up 4.0,Flaherty,Cabrera,,3:06,D,17560,1.41,++,
154,Friday Sep 20,boxscore,LAD,,COL,W,6,4,,92-62,1,up 4.0,Vesia,Freeland,Kopech,2:21,N,49073,.93,+++,
155,Saturday Sep 21,boxscore,LAD,,COL,L,3,6,,92-63,1,up 3.0,Vodnik,Buehler,Halvorsen,2:53,N,52267,.72,-,
156,Sunday Sep 22,boxscore,LAD,,COL,W-wo,6,5,,93-63,1,up 3.0,Treinen,Halvorsen,,2:53,D,50730,1.08,+,
157,Tuesday Sep 24,boxscore,LAD,,SDP,L,2,4,,93-64,1,up 2.0,King,Knack,Suarez,2:44,N,50369,2.03,-,
158,Wednesday Sep 25,boxscore,LAD,,SDP,W,4,3,,94-64,1,up 3.0,Vesia,Estrada,Kopech,2:47,N,52310,3.53,+,
159,Thursday Sep 26,boxscore,LAD,,SDP,W,7,2,,95-64,1,up 4.0,Banda,Scott,,2:29,N,52433,1.43,++,
160,Friday Sep 27,boxscore,LAD,@,COL,W,11,4,,96-64,1,up 4.0,Casparius,Quantrill,,2:59,N,48750,.13,+++,
161,Saturday Sep 28,boxscore,LAD,@,COL,W,13,2,,97-64,1,up 4.0,Yamamoto,Senzatela,Wrobleski,2:53,N,48395,.05,++++,
162,Sunday Sep 29,boxscore,LAD,@,COL,W,2,1,,98-64,1,up 5.0,Phillips,Vodnik,Henriquez,2:33,D,48320,.00,+++++,